job_id,office,position_title,date,year,listing_type,umap_x,umap_y,cluster
MEM-235-26,Congresswoman Analilia Mejia (NJ-11),Fall 2026 Intern,2026-07-20,2026,internship,6.0170197,5.535224,-1
MEM-233-26,Congressman Mike Levin (CA-49),Press Intern,2026-07-20,2026,internship,12.912015,19.081675,20
MEM-232-26,Congressman Jack Bergman (MI-01),Fall 2026 Paid Intern,2026-07-20,2026,internship,7.0928936,1.3373709,-1
MEM-231-26,Representative Marilyn Strickland (WA-10),Communications Intern,2026-07-20,2026,internship,13.060162,18.915169,-1
MEM-230-26,Congressman Gabe Vasquez (NM-02),Communications Fellow,2026-07-20,2026,internship,12.978727,20.000826,-1
MEM-228-26,,Fall 2026 Intern,2026-07-20,2026,internship,3.8517864,2.6246257,-1
MEM-241-26,Representative Marilyn Strickland (WA-10),Fall Legislative Intern,2026-07-27,2026,internship,8.074353,6.5761285,-1
MEM-240-26,Congressman Salud Carbajal (CA-24),Digital/Press Intern,2026-07-27,2026,internship,12.271516,19.3709,21
MEM-237-26,Congressman Shri Thanedar (MI-13),Legislative Fellow,2026-07-27,2026,internship,8.010511,10.045103,-1
MEM-252-26,,Internship for House Committee on Veterans' Affairs - Majority Staff,2026-08-03,2026,internship,5.780586,13.465918,-1
MEM-251-26,Representative Seth Magaziner (RI-02),Part-Time Paid Fall 2026 Intern,2026-08-03,2026,internship,7.7522845,3.3299906,-1
MEM-250-26,,Press Intern,2026-08-03,2026,internship,13.774454,19.330837,-1
MEM-249-26,,Video Production Intern,2026-08-03,2026,internship,11.130873,21.130077,-1
MEM-245-26,Congresswoman Doris Matsui (CA-07),Press and Digital Intern,2026-08-03,2026,internship,12.000102,18.940966,21
MEM-244-26,Congresswoman Doris Matsui (CA-07),Fall Legislative Internship,2026-08-03,2026,internship,5.9733386,3.0683658,-1
MEM-256-26,,Law Clerk,2026-08-10,2026,internship,8.043115,11.484481,1
MEM-259-26,Congressman Greg Casar (TX-35),DC Fall 2026 Internship,2026-08-17,2026,internship,7.8894973,3.4466991,-1
MEM-264-26,,Digital Fellow,2026-08-24,2026,internship,12.7064905,20.012222,-1
MEM-261-26,Congressman Salud Carbajal (CA-24),Digital/Press Intern,2026-08-24,2026,internship,12.343724,19.425798,21
MEM-442-24,Congressman Jason Crow (CO-06),Legislative Assistant,2024-10-21,2024,internship,7.956653,10.056335,-1
MEM-438-24,Congresswoman Jill Tokuda (HI-02),District Director,2024-10-21,2024,internship,7.9184613,4.7853484,-1
MEM-431-24,Congresswoman Alma Adams (NC-12),Legislative Assistant,2024-10-21,2024,internship,7.922402,10.077389,-1
MEM-425-24,Congressman Greg Landsman (OH-01),Legislative Correspondent,2024-10-14,2024,internship,6.4982595,6.512806,-1
MEM-424-24,Congressman Greg Landsman (OH-01),Legislative Aide,2024-10-14,2024,internship,7.936251,10.072789,-1
