HDBSCAN Clusters — 3,385 unique jobs

Cluster    Size   % of corpus  Top terms

------------------------------------------------------------------------------------------
C0: clips sorting, reference, reference material, assembling reference, daily budget     23    0.7%
C1: law, law clerk, clerk, committee, legal                                16    0.5%
C2: natural resources, natural, committee process, resources committee, dependable passionate     16    0.5%
C3: legal, legal factual, factual research, superior attention, factual     29    0.9%
C4: procedures, house floor, house, variety, complete variety              16    0.5%
C5: work substantive, help prepare, press matters, markups work, substantive research     19    0.6%
C6: committee staff, proceedings hearings, official proceedings, staff official, committee     46    1.4%
C7: receptions seminars, letters researching, hearings needed, seminars self, flexible computer     18    0.5%
C8: veterans, help veterans, veterans learn, desire help, written communications     30    0.9%
C9: markups briefings, staff hearing, markup preparation, preparation execution, hearing markup     15    0.4%
C10: media, media developing, developing media, releases monitoring, process photography     15    0.4%
C11: performing basic, basic administrative, residents strong, strong ties, residents     25    0.7%
C12: virtual, conduct, research needed, email blasts, assignments conduct     16    0.5%
C13: attitude politics, pressure team, tasks work, tasks college, environment positive     23    0.7%
C14: responsible willing, skills committed, oriented responsible, learn able, committed public     27    0.8%
C15: adobe, analytics, familiarity adobe, familiarity, paced rapid         25    0.7%
C16: legislative, responses letters, memos responses, constituents, attention details     27    0.8%
C17: assisting constituent, process enthusiastic, reliable hard, interested legislative, correspondence process     17    0.5%
C18: graduates preferred, preferred south, staff high, diligent team, committed diligent     20    0.6%
C19: press, 00, lists collecting, collecting distributing, collecting      18    0.5%
C20: press, social, member, background, imovie                             15    0.4%
C21: digital, press, media, editing, social                                49    1.4%
C22: press, media, social, social media, press lists                       15    0.4%
C23: skills, event, photography, press, planning skills                    18    0.5%
C24: research analysis, analysis various, encouraged required, analysis, administrative staff     45    1.3%
C25: excellent customer, phones managing, service skills, managing office, customer service     30    0.9%
C26: diverse issue, projects diverse, months, stay months, capitol sorting     25    0.7%
C27: aware, administration, abilities good, organizational abilities, independently drive     16    0.5%
C28: humor time, briefings subjects, member briefings, superior writing, candidates eligible     16    0.5%
C29: research responding, inquiries processing, processing tour, task fastidious, fastidious attention     16    0.5%
C30: duties professional, demeanor legislative, assisting flag, briefings responding, requests general     17    0.5%
C31: duties necessary, correspondence variety, briefings participating, solid work, hearing preparation     20    0.6%
C32: providing, providing research, program providing, working environment, paced working     32    0.9%
C33: students, public service, notes briefings, graduate, constituents desk     16    0.5%
C34: professionalism strong, exceptional written, skills high, constituents handling, strong public     26    0.8%
C35: hill briefings, briefings congressional, press events, hearings press, ethic excellent     44    1.3%
C36: mail assisting, research strong, phones sorting, intern attending, tours answering     23    0.7%
C37: skills close, assisting, sorting distributing, internship work, previous internship     70    2.1%
C38: capitol opening, young, reliable professional, manner times, research various     27    0.8%
C39: excellent research, interact constituents, interact, answering phone, capitol assisting     19    0.6%
C40: political process, process congressional, political, mail attending, work fast     47    1.4%
C41: answer, legislation member, member legislative, various issues, letters various     22    0.6%
C42: assist congressman, phones leading, tasks assist, meetings conducting, leading     29    0.9%
C43: performing various, process excellent, skills attention, various administrative, phones leading     23    0.7%
C44: environment interested, dependable strong, professional dependable, correspondence capitol, interested learning     29    0.9%

noise                                                                    2255   66.6%
