job_id,office,position_title,date,year,listing_type,umap_x,umap_y,cluster
MEM-100-14,Congresswoman Eleanor Holmes Norton (DC-00),Staff Assistant,2014-01-06,2014,staff,-2.5062149,7.981602,19
MEM-378-13,,Legislative Assistant,2013-12-23,2013,staff,6.6749682,7.13028,-1
MEM-376-13,,Press Secretary,2013-12-23,2013,staff,-2.8556628,-4.7574487,-1
MEM-375-13,Congressman Aaron Schock (IL-18),Communications Director,2013-12-16,2013,staff,-1.2714871,-5.5572734,12
MEM-374-13,,Legislative Assistant,2013-12-16,2013,staff,5.922856,7.6216984,-1
MEM-373-13,,Press Assistant,2013-12-16,2013,staff,-3.1748588,-3.6768718,-1
MEM-370-13,,Press Secretary,2013-12-09,2013,staff,-2.8436487,-4.7848306,12
MEM-109-14,Congressman Steven Horsford (NV-04),Community Liaison/Caseworker,2014-01-13,2014,staff,-6.0454855,13.628245,-1
MEM-108-14,,Staff Assistant,2014-01-13,2014,staff,10.581242,0.85968524,6
MEM-107-14,,Labor Policy Counsel (Pensions),2014-01-13,2014,staff,7.7569075,4.4350643,-1
MEM-106-14,,Communications Director,2014-01-13,2014,staff,-1.1379571,-5.4634013,12
MEM-104-14,,Staff Assistant,2014-01-13,2014,staff,-2.3239176,9.080312,17
MEM-119-14,,Transportation Legislative Assistant,2014-01-20,2014,staff,6.102319,6.831234,-1
MEM-118-14,Congressman Steven Horsford (NV-04),Staff Assistant,2014-01-20,2014,staff,-2.5397875,8.358722,-1
MEM-120-14,,Digital Editor,2014-01-27,2014,staff,-4.1636653,-2.7618446,-1
MEM-361-13,,Communications Director,2013-12-02,2013,staff,-0.72202045,-5.604182,12
MEM-356-13,,Scheduler/Office Administrator,2013-12-02,2013,staff,1.8346144,16.909245,20
MEM-349-13,,Communications Director,2013-12-02,2013,staff,-0.81095356,-5.4061656,12
MEM-346-13,,Revenue Analyst,2013-12-02,2013,staff,4.771205,4.488571,-1
MEM-111-25,Congresswoman Dina Titus (NV-01),District Office Staff Assistant,2025-03-31,2025,staff,-2.501466,8.337713,-1
MEM-110-25,Congresswoman Pramila Jayapal (WA-07),Senior Legislative Assistant,2025-03-31,2025,staff,6.327513,6.3939815,8
MEM-001-25,Congressman Michael Rulli (OH-06),Legislative Correspondent,2025-01-06,2025,staff,-0.55818325,5.8982744,-1
MEM-452-24,Congressman Brendan Boyle (PA-2),Special Assistant,2024-10-28,2024,staff,-1.1627274,8.465225,-1
MEM-451-24,,Deputy Chief of Staff,2024-10-28,2024,staff,5.90201,9.247001,-1
MEM-392-24,Congresswoman Emilia Sykes (OH-13),Communications Director,2024-09-30,2024,staff,-1.1237477,-6.2985244,12
MEM-382-24,Congressman Max Miller (OH-07),Military and Veterans Affairs Liaison,2024-09-16,2024,staff,-6.148796,13.55036,-1
MEM-135-24,Congresswoman Joyce Beatty (OH-03),Press Secretary,2024-03-25,2024,staff,-2.796792,-4.819762,-1
MEM-458-24,Congressman Steven Horsford (NV-04),District Representative,2024-10-28,2024,staff,-5.669353,13.726642,-1
MEM-457-24,Congressman Joaquin Castro (TX-20),Staff Assistant,2024-10-28,2024,staff,-1.8827097,8.654248,-1
MEM-456-24,Congressman Jamie Raskin (MD-08),Senior Legislative Assistant or Policy Advisor,2024-10-28,2024,staff,7.0762143,7.859169,-1
MEM-476-24,Congressman Dan Crenshaw (TX-02),Legislative Assistant,2024-11-11,2024,staff,6.0203123,7.6843476,-1
MEM-475-24,,Constituent Services Representative,2024-11-11,2024,staff,-6.193752,13.226397,-1
MEM-474-24,,Digital Director,2024-11-11,2024,staff,-2.221901,-4.165617,-1
MEM-473-24,,Staff Assistant,2024-11-11,2024,staff,4.805687,2.8288176,-1
MEM-471-24,"Congressman Ami Bera, M.D. (CA-06)",Health Policy Advisor/Senior Health Policy Advisor,2024-11-11,2024,staff,7.211132,7.4097953,-1
MEM-470-24,,Staff Assistant,2024-11-11,2024,staff,4.9101186,3.7026007,-1
MEM-469-24,,Counsel for the House Judiciary Committee – National Security,2024-11-11,2024,staff,6.224476,5.492543,-1
MEM-468-24,,Counsel for the House Judiciary Subcommittee on the Constitution – Reproductive Rights,2024-11-11,2024,staff,6.203124,5.512927,-1
MEM-467-24,Congressman Tom Suozzi (NY-03),Press Secretary/Communications Director,2024-11-11,2024,staff,-2.9108503,-4.4176884,12
MEM-478-24,Congressman Gabe Amo (RI-01),Field Representative,2024-11-18,2024,staff,-6.0346246,14.07342,-1
MEM-462-24,Congresswoman Pramila Jayapal (WA-07),Law Clerk,2024-11-18,2024,staff,6.247759,6.153322,-1
MEM-495-24,Congressman Eugene Vindman (VA-07),Scheduler,2024-11-25,2024,staff,2.4613268,17.363218,-1
MEM-494-24,Representative-elect Eugene Vindman (VA-07),District Director,2024-11-25,2024,staff,-4.137988,12.584339,-1
MEM-493-24,Representative-elect Eugene Vindman (VA-07),Communications Director,2024-11-25,2024,staff,-1.3479866,-5.8662457,-1
MEM-492-24,Congressman Eugene Vindman (VA-07),Legislative Director,2024-11-25,2024,staff,6.631147,9.158932,-1
MEM-490-24,Congresswoman Ilhan Omar (MN-05),Communications Assistant,2024-11-25,2024,staff,-3.5173965,-3.0959997,-1
MEM-486-24,Congressman Gabe Amo (RI-01),Scheduler,2024-11-25,2024,staff,2.3490336,17.605413,20
MEM-484-24,Congressman Gabe Amo (RI-01),Caseworker,2024-11-25,2024,staff,-6.8536935,13.584945,-1
MEM-451-23,Congresswoman Maxine Waters (CA-43),Legislative Director/Counsel,2023-08-28,2023,staff,6.5237474,9.167303,-1
MEM-503-24,Congresswoman Emilia Sykes (OH-13),Legislative Assistant,2024-12-02,2024,staff,6.661451,7.409456,13
MEM-502-24,Congressman Steven Horsford (NV-04),Communications Director,2024-12-02,2024,staff,-0.56933635,-6.114573,12
MEM-501-24,,National Security Advisor,2024-12-02,2024,staff,7.19644,6.153129,-1
MEM-500-24,,Legislative Assistant,2024-12-02,2024,staff,7.376612,1.2443331,2
MEM-498-24,,Legislative Assistant,2024-12-02,2024,staff,7.394543,1.1510698,2
MEM-497-24,,Scheduler,2024-12-02,2024,staff,2.2921,17.816298,20
MEM-512-24,Congresswoman Sara Jacobs (CA-51),"Washington, D.C.-Based Executive Assistant/Scheduler",2024-12-09,2024,staff,1.3164562,17.02355,-1
MEM-510-24,Congresswoman Angie Craig (MN-02),Communications Director,2024-12-09,2024,staff,-0.9373666,-6.3125763,12
MEM-511-24,,Research Assistant,2024-12-09,2024,staff,7.471377,1.075106,2
MEM-506-24,Congresswoman Sara Jacobs (CA-51),Social Media Assistant,2024-12-09,2024,staff,-3.7311814,-2.9590478,-1
MEM-504-24,,Legislative Assistant,2024-12-09,2024,staff,7.440887,1.2012292,2
MEM-529-24,Congresswoman Nanette Barragán (CA-44),Legislative Assistant or Senior Policy Advisor,2024-12-30,2024,staff,7.0048733,7.0485525,-1
MEM-528-24,Congresswoman Nanette Diaz Barragán (CA-44),Communications Director,2024-12-30,2024,staff,-0.49673206,-5.630336,12
MEM-527-24,Congresswoman Val Hoyle (OR-04),Communications Director,2024-12-30,2024,staff,-0.87806296,-6.215437,12
MEM-526-24,Member-elect Maggie Goodlander (NH-02),Legislative Assistant,2024-12-30,2024,staff,6.0576024,7.3786974,-1
